requestStart,requestEnd,duration,durationNetto,downLinkBytes,downLinkPackets,upLinkBytes,upLinkPackets,port,requestSize,protocol,stalling,qc,qcFrom,qcTo,phase,bhfirst,bhlast,bhmin,bhmax,bhmean,bhstd,videoid
2020-02-14 09:04:33.316385984,2020-02-14 09:04:33.330620050,0 days 00:00:00.014234066,0 days 00:00:00.009387255,1358.0,1,0.0,0,38471.0,754.0,udpnew,0,1,247,243,filling,0,0,0,0,0.0,0.0,jcgcswfv-6A
2020-02-14 09:04:33.330878019,2020-02-14 09:04:33.438672066,0 days 00:00:00.107794047,0 days 00:00:00.103365898,6411.0,9,450.0,6,38471.0,1358.0,udpnew,0,1,247,243,filling,0,0,0,0,0.0,0.0,jcgcswfv-6A
2020-02-14 09:04:33.438672066,2020-02-14 09:04:33.515714884,0 days 00:00:00.077042818,0 days 00:00:00.064035892,4007.0,8,173.0,4,38471.0,774.0,udpnew,0,1,247,243,filling,0,0,0,0,0.0,0.0,jcgcswfv-6A
2020-02-14 09:04:33.515714884,2020-02-14 09:04:33.638497829,0 days 00:00:00.122782945,0 days 00:00:00.120626211,8148.0,6,173.0,4,38471.0,758.0,udpnew,0,1,247,243,filling,0,0,0,0,0.0,0.0,jcgcswfv-6A
2020-02-14 09:04:33.638497829,2020-02-14 09:04:34.239928007,0 days 00:00:00.601430178,0 days 00:00:00.599166155,36666.0,27,569.0,15,38471.0,758.0,udpnew,0,0,243,0,filling,0,0,0,0,0.0,0.0,jcgcswfv-6A
2020-02-14 09:04:34.239928007,2020-02-14 09:04:39.041778803,0 days 00:00:04.801850796,0 days 00:00:04.764863968,283191.0,211,3938.0,107,38471.0,752.0,udpnew,0,0,243,0,filling,4590,6162,4590,6162,5236.75,780.6550134342314,jcgcswfv-6A
2020-02-14 09:04:39.041778803,2020-02-14 09:04:39.059210777,0 days 00:00:00.017431974,0 days 00:00:00.009868145,29.0,1,55.0,1,38471.0,753.0,udpnew,0,0,243,0,filling,6162,6162,6162,6162,6162.0,0.0,jcgcswfv-6A
2020-02-14 09:04:39.059210777,2020-02-14 09:04:46.762233019,0 days 00:00:07.703022242,0 days 00:00:07.675303221,453882.0,342,6487.0,171,38471.0,749.0,udpnew,0,0,243,0,filling,5919,6980,4910,6980,5867.0,577.0951889791295,jcgcswfv-6A
2020-02-14 09:04:46.762233019,2020-02-14 09:04:46.780480862,0 days 00:00:00.018247843,0 days 00:00:00.003972053,2831.0,3,85.0,2,38471.0,754.0,udpnew,0,0,243,0,filling,6980,6980,6980,6980,6980.0,0.0,jcgcswfv-6A
2020-02-14 09:04:46.780480862,2020-02-14 09:04:49.550621986,0 days 00:00:02.770141124,0 days 00:00:02.748479128,167999.0,126,2485.0,65,38471.0,757.0,udpnew,0,0,243,0,filling,8726,11767,8726,11767,10246.5,2150.311721588291,jcgcswfv-6A
2020-02-14 09:04:49.550621986,2020-02-14 09:04:49.562963724,0 days 00:00:00.012341738,0 days 00:00:00.005184174,1387.0,2,48.0,1,38471.0,753.0,udpnew,0,0,243,0,filling,11767,11767,11767,11767,11767.0,0.0,jcgcswfv-6A
2020-02-14 09:04:49.562963724,2020-02-14 09:04:52.116353989,0 days 00:00:02.553390265,0 days 00:00:02.533560515,154526.0,116,2183.0,58,38471.0,757.0,udpnew,0,0,243,0,filling,15204,18661,15204,18661,17154.0,1770.5645992168713,jcgcswfv-6A
2020-02-14 09:04:52.116353989,2020-02-14 09:04:52.138983011,0 days 00:00:00.022629022,0 days 00:00:00.021536827,2831.0,3,85.0,2,38471.0,754.0,udpnew,0,0,243,0,filling,18661,18661,18661,18661,18661.0,0.0,jcgcswfv-6A
2020-02-14 09:04:52.138983011,2020-02-14 09:04:55.015085220,0 days 00:00:02.876102209,0 days 00:00:02.852859974,173704.0,130,2455.0,65,38471.0,750.0,udpnew,0,0,243,0,filling,22617,26922,22617,26922,25369.333333333332,2390.116384892864,jcgcswfv-6A
2020-02-14 09:04:55.015085220,2020-02-14 09:04:55.030585051,0 days 00:00:00.015499831,0 days 00:00:00.004170895,1387.0,2,48.0,1,38471.0,761.0,udpnew,0,0,243,0,filling,26922,26922,26922,26922,26922.0,0.0,jcgcswfv-6A
2020-02-14 09:04:55.030585051,2020-02-14 09:05:03.339325190,0 days 00:00:08.308740139,0 days 00:00:08.290179967,502915.0,378,7150.0,188,38471.0,757.0,udpnew,0,0,243,0,filling,29998,31261,29355,31261,30164.125,586.8145089013587,jcgcswfv-6A
2020-02-14 09:05:03.339325190,2020-02-14 09:05:03.354440928,0 days 00:00:00.015115738,0 days 00:00:00.011573791,2853.0,4,85.0,2,38471.0,754.0,udpnew,0,0,243,0,filling,31261,31261,31261,31261,31261.0,0.0,jcgcswfv-6A
2020-02-14 09:05:03.354440928,2020-02-14 09:05:23.173662186,0 days 00:00:19.819221258,0 days 00:00:19.347315311,409000.0,309,8477.0,225,38471.0,757.0,udpnew,0,0,243,0,filling,31489,-524,-524,32412,25791.7,9251.742880469375,jcgcswfv-6A
2020-02-14 09:05:23.173662186,2020-02-14 09:05:23.537425995,0 days 00:00:00.363763809,0 days 00:00:00.308261633,3597.0,4,128.0,3,38471.0,732.0,udpnew,0,0,243,0,depletion,-524,-524,-524,-524,-524.0,0.0,jcgcswfv-6A
2020-02-14 09:05:23.537425995,2020-02-14 09:05:33.253030062,0 days 00:00:09.715604067,0 days 00:00:09.616656780,117209.0,92,3356.0,89,38471.0,739.0,udpnew,0,1,243,278,depletion,-1438,11443,-1438,11640,9964.6,4019.7780812157057,jcgcswfv-6A
2020-02-14 09:05:33.253030062,2020-02-14 09:05:33.264600991,0 days 00:00:00.011570929,0 days 00:00:00.006505011,1473.0,2,85.0,2,38471.0,739.0,udpnew,0,1,243,278,filling,11443,11443,11443,11443,11443.0,0.0,jcgcswfv-6A
2020-02-14 09:05:33.264600991,2020-02-14 09:05:45.028739929,0 days 00:00:11.764138938,0 days 00:00:11.744749070,143001.0,109,3998.0,106,38471.0,750.0,udpnew,0,0,278,0,filling,11355,6304,6304,11355,8824.5,1597.5282327850905,jcgcswfv-6A
2020-02-14 09:05:45.028739929,2020-02-14 09:05:45.040768862,0 days 00:00:00.012028933,0 days 00:00:00.008975983,115.0,1,48.0,1,38471.0,746.0,udpnew,0,0,278,0,filling,6304,6304,6304,6304,6304.0,0.0,jcgcswfv-6A
2020-02-14 09:05:45.040768862,2020-02-14 09:05:46.081676245,0 days 00:00:01.040907383,0 days 00:00:01.011072159,13580.0,10,424.0,11,38471.0,757.0,udpnew,0,0,278,0,filling,9333,9333,9333,9333,9333.0,0.0,jcgcswfv-6A
2020-02-14 09:05:46.081676245,2020-02-14 09:05:48.750999928,0 days 00:00:02.669323683,0 days 00:00:02.647925615,73361.0,55,1197.0,32,38471.0,750.0,udpnew,0,0,278,0,filling,8829,11508,8829,11508,9915.0,1409.6265462880585,jcgcswfv-6A
2020-02-14 09:05:48.750999928,2020-02-14 09:05:49.974905968,0 days 00:00:01.223906040,0 days 00:00:01.206340312,44843.0,34,751.0,20,38471.0,746.0,udpnew,0,0,278,0,filling,15227,15227,15227,15227,15227.0,0.0,jcgcswfv-6A
2020-02-14 09:05:49.974905968,2020-02-14 09:05:54.513545990,0 days 00:00:04.538640022,0 days 00:00:04.517812967,164981.0,126,2529.0,67,38471.0,750.0,udpnew,0,0,278,0,filling,14796,18720,14796,18720,16970.0,1718.6686708030725,jcgcswfv-6A
2020-02-14 09:05:54.513545990,2020-02-14 09:05:54.526320934,0 days 00:00:00.012774944,0 days 00:00:00.004252194,1473.0,2,85.0,2,38471.0,746.0,udpnew,0,0,278,0,filling,18720,18720,18720,18720,18720.0,0.0,jcgcswfv-6A
2020-02-14 09:05:54.526320934,2020-02-14 09:05:59.333698988,0 days 00:00:04.807378054,0 days 00:00:04.789554835,175051.0,130,2653.0,70,38471.0,750.0,udpnew,0,0,278,0,filling,19958,22269,19958,22510,21527.6,1113.3010823672093,jcgcswfv-6A
2020-02-14 09:05:59.347029209,2020-02-14 09:06:04.092519999,0 days 00:00:04.745490790,0 days 00:00:04.727862835,172984.0,133,2677.0,71,38471.0,750.0,udpnew,0,0,278,0,filling,25095,28456,25095,28456,26925.4,1390.2869487987002,jcgcswfv-6A
2020-02-14 09:06:04.092519999,2020-02-14 09:06:04.109718084,0 days 00:00:00.017198085,0 days 00:00:00.004073858,1473.0,2,85.0,2,38471.0,747.0,udpnew,0,0,278,0,filling,28456,28456,28456,28456,28456.0,0.0,jcgcswfv-6A
2020-02-14 09:06:04.109718084,2020-02-14 09:06:08.267279148,0 days 00:00:04.157561064,0 days 00:00:04.139089823,152124.0,113,2344.0,62,38471.0,750.0,udpnew,0,0,278,0,filling,30683,34150,30683,34150,32542.5,1437.0192529445571,jcgcswfv-6A
2020-02-14 09:06:08.267279148,2020-02-14 09:06:08.296531916,0 days 00:00:00.029252768,0 days 00:00:00.021942854,1416.0,3,48.0,1,38471.0,740.0,udpnew,0,0,278,0,filling,34150,34150,34150,34150,34150.0,0.0,jcgcswfv-6A
2020-02-14 09:06:08.296531916,2020-02-14 09:06:13.263037205,0 days 00:00:04.966505289,0 days 00:00:04.933069944,179757.0,135,2910.0,76,38471.0,758.0,udpnew,0,0,278,0,filling,35944,39842,35944,39842,37874.6,1394.476532609997,jcgcswfv-6A
2020-02-14 09:06:13.263378859,2020-02-14 09:06:17.233855963,0 days 00:00:03.970477104,0 days 00:00:03.958570241,145449.0,112,2294.0,60,38471.0,740.0,udpnew,0,0,278,0,filling,40835,43677,40452,43677,41613.75,1440.8542315816221,jcgcswfv-6A
2020-02-14 09:06:17.233855963,2020-02-14 09:06:17.248608112,0 days 00:00:00.014752149,0 days 00:00:00.005198002,1387.0,2,48.0,1,38471.0,747.0,udpnew,0,0,278,0,filling,43677,43677,43677,43677,43677.0,0.0,jcgcswfv-6A
