frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len,frame.protocols
"1","1714740697.799205000","d8:3a:dd:38:d2:7e","33:33:00:00:00:01",,,,"86","eth:ethertype:ipv6:icmpv6"
"2","1714740698.225681000","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,,"119","eth:llc:stp"
"3","1714740698.252930000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","1238","eth:ethertype:ip:udp:data"
"4","1714740698.256516000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","77","eth:ethertype:ip:udp:data"
"5","1714740698.256617000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"6","1714740698.304108000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","120","eth:ethertype:ip:udp:data"
"7","1714740698.304287000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","68","eth:ethertype:ip:udp:data"
"8","1714740698.304323000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","86","eth:ethertype:ip:udp:data"
"9","1714740698.304334000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","78","eth:ethertype:ip:udp:data"
"10","1714740698.309099000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","71","eth:ethertype:ip:udp:data"
"11","1714740698.309180000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"12","1714740698.359392000","e4:5f:01:05:ee:1a","33:33:00:00:00:01",,,,"86","eth:ethertype:ipv6:icmpv6"
"13","1714740698.359447000","00:19:99:f5:0f:54","33:33:00:00:00:01",,,,"86","eth:ethertype:ipv6:icmpv6"
"14","1714740698.415556000","00:d8:61:a6:16:a4","ff:ff:ff:ff:ff:ff",,,,"60","eth:ethertype:arp"
"15","1714740698.440914000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","1399","eth:ethertype:ip:udp:data"
"16","1714740698.440947000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","1399","eth:ethertype:ip:udp:data"
"17","1714740698.440972000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","764","eth:ethertype:ip:udp:data"
"18","1714740698.444561000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","82","eth:ethertype:ip:udp:data"
"19","1714740698.444667000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"20","1714740698.445672000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","71","eth:ethertype:ip:udp:data"
"21","1714740698.470988000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1394","eth:ethertype:ip:udp:data"
