frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len
"1","1713960069.410522000","84:34:97:3c:aa:a0","09:00:09:09:13:a6",,,,"60"
"2","1713960070.107128000","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,,"119"
"3","1713960071.720403000","e0:01:a6:06:c6:e5","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"4","1713960071.964464000","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"5","1713960072.120464000","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,,"119"
"6","1713960073.229127000","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"7","1713960073.416734000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","86"
"8","1713960073.416829000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","86"
"9","1713960073.418831000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","379"
"10","1713960073.419012000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","235"
"11","1713960073.441488000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","1399"
"12","1713960073.452795000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","1399"
"13","1713960073.452795000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","657"
"14","1713960073.453968000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","155"
"15","1713960073.454116000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","1399"
"16","1713960073.454151000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","610"
"17","1713960073.457276000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","171"
"18","1713960073.458052000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","72"
"19","1713960073.458116000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","73"
"20","1713960073.466760000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","294"
"21","1713960073.466897000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","66"
"22","1713960073.467121000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","78"
"23","1713960073.496144000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","69"
"24","1713960073.555366000","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"25","1713960074.123167000","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,,"119"
"26","1713960074.127514000","7a:42:8d:b5:3b:78","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"27","1713960074.410397000","84:34:97:3c:aa:a0","09:00:09:09:13:a6",,,,"60"
"28","1713960075.633891000","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"29","1713960076.161082000","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,,"119"
"30","1713960076.659948000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","82"
"31","1713960076.660277000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","82"
"32","1713960076.661415000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","338"
"33","1713960076.661489000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","194"
"34","1713960076.666259000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","1399"
"35","1713960076.677717000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"36","1713960076.677931000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","657"
"37","1713960076.678746000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1395"
"38","1713960076.678943000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"39","1713960076.678943000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"40","1713960076.678943000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"41","1713960076.678995000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"42","1713960076.678995000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"43","1713960076.678995000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"44","1713960076.680300000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"45","1713960076.680531000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"46","1713960076.680934000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","160"
"47","1713960076.682306000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"48","1713960076.682493000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"49","1713960076.682708000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","73"
"50","1713960076.684203000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","165"
"51","1713960076.684456000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"52","1713960076.684456000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"53","1713960076.684456000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"54","1713960076.684456000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"55","1713960076.684457000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"56","1713960076.684498000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"57","1713960076.684498000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"58","1713960076.684498000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"59","1713960076.684879000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","73"
"60","1713960076.685869000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
