frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len,frame.protocols
"1","1714740791.089655000","02:02:02:39:af:3f","33:33:00:00:00:01",,,,"86","eth:ethertype:ipv6:icmpv6"
"2","1714740791.321948000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","216.58.206.35","17","1399","eth:ethertype:ip:udp:quic:tls"
"3","1714740791.333030000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","216.58.206.35","172.16.31.14","17","1399","eth:ethertype:ip:udp:quic:tls"
"4","1714740791.333030000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","216.58.206.35","172.16.31.14","17","657","eth:ethertype:ip:udp:quic"
"5","1714740791.334375000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","216.58.206.35","17","155","eth:ethertype:ip:udp:quic"
"6","1714740791.337364000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","216.58.206.35","172.16.31.14","17","171","eth:ethertype:ip:udp:quic"
"7","1714740791.356695000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","216.58.206.35","17","74","eth:ethertype:ip:udp:quic"
"8","1714740791.914099000","84:34:97:3c:aa:a0","09:00:09:09:13:a6",,,,"60","eth:ethertype:ieee802a:data"
"9","1714740792.042159000","00:26:f1:d9:37:42","01:80:c2:00:00:0e",,,,"143","eth:ethertype:lldp"
"10","1714740792.269851000","00:d8:61:a6:16:a4","ff:ff:ff:ff:ff:ff",,,,"60","eth:ethertype:arp"
"11","1714740792.349598000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","469","eth:ethertype:ip:udp:data"
"12","1714740792.353471000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","77","eth:ethertype:ip:udp:data"
"13","1714740792.353608000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"14","1714740792.388599000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1394","eth:ethertype:ip:udp:data"
"15","1714740792.388600000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"16","1714740792.388600000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","800","eth:ethertype:ip:udp:data"
"17","1714740792.388659000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","306","eth:ethertype:ip:udp:data"
"18","1714740792.388937000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","83","eth:ethertype:ip:udp:data"
"19","1714740792.393068000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","71","eth:ethertype:ip:udp:data"
"20","1714740792.459520000","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,,"119","eth:llc:stp"
"21","1714740792.468758000","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342","eth:ethertype:ip:udp:dhcp"
"22","1714740792.629142000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","1399","eth:ethertype:ip:udp:data"
"23","1714740792.629158000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","325","eth:ethertype:ip:udp:data"
"24","1714740792.630313000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","1246","eth:ethertype:ip:udp:data"
"25","1714740792.632885000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","77","eth:ethertype:ip:udp:data"
"26","1714740792.633029000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"27","1714740792.633892000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","77","eth:ethertype:ip:udp:data"
"28","1714740792.640923000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","96","eth:ethertype:ip:udp:data"
"29","1714740792.641008000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","68","eth:ethertype:ip:udp:data"
"30","1714740792.641128000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","91","eth:ethertype:ip:udp:data"
"31","1714740792.643037000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","92","eth:ethertype:ip:udp:data"
"32","1714740792.643142000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","90","eth:ethertype:ip:udp:data"
"33","1714740792.643151000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","74","eth:ethertype:ip:udp:data"
"34","1714740792.643203000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","68","eth:ethertype:ip:udp:data"
"35","1714740792.645348000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","71","eth:ethertype:ip:udp:data"
