frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","Apr 24, 2024 14:01:09.410522000 CEST","84:34:97:3c:aa:a0","09:00:09:09:13:a6",,,
"2","Apr 24, 2024 14:01:10.107128000 CEST","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,
"3","Apr 24, 2024 14:01:11.720403000 CEST","e0:01:a6:06:c6:e5","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17"
"4","Apr 24, 2024 14:01:11.964464000 CEST","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17"
"5","Apr 24, 2024 14:01:12.120464000 CEST","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,
"6","Apr 24, 2024 14:01:13.229127000 CEST","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17"
"7","Apr 24, 2024 14:01:13.416734000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17"
"8","Apr 24, 2024 14:01:13.416829000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17"
"9","Apr 24, 2024 14:01:13.418831000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17"
"10","Apr 24, 2024 14:01:13.419012000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17"
"11","Apr 24, 2024 14:01:13.441488000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17"
"12","Apr 24, 2024 14:01:13.452795000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17"
"13","Apr 24, 2024 14:01:13.452795000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17"
"14","Apr 24, 2024 14:01:13.453968000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17"
"15","Apr 24, 2024 14:01:13.454116000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17"
"16","Apr 24, 2024 14:01:13.454151000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17"
"17","Apr 24, 2024 14:01:13.457276000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17"
"18","Apr 24, 2024 14:01:13.458052000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17"
"19","Apr 24, 2024 14:01:13.458116000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17"
"20","Apr 24, 2024 14:01:13.466760000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17"
"21","Apr 24, 2024 14:01:13.466897000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17"
"22","Apr 24, 2024 14:01:13.467121000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17"
"23","Apr 24, 2024 14:01:13.496144000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17"
"24","Apr 24, 2024 14:01:13.555366000 CEST","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17"
"25","Apr 24, 2024 14:01:14.123167000 CEST","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,
"26","Apr 24, 2024 14:01:14.127514000 CEST","7a:42:8d:b5:3b:78","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17"
"27","Apr 24, 2024 14:01:14.410397000 CEST","84:34:97:3c:aa:a0","09:00:09:09:13:a6",,,
"28","Apr 24, 2024 14:01:15.633891000 CEST","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17"
"29","Apr 24, 2024 14:01:16.161082000 CEST","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,
"30","Apr 24, 2024 14:01:16.659948000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17"
"31","Apr 24, 2024 14:01:16.660277000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17"
"32","Apr 24, 2024 14:01:16.661415000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17"
"33","Apr 24, 2024 14:01:16.661489000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17"
"34","Apr 24, 2024 14:01:16.666259000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"35","Apr 24, 2024 14:01:16.677717000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"36","Apr 24, 2024 14:01:16.677931000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"37","Apr 24, 2024 14:01:16.678746000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"38","Apr 24, 2024 14:01:16.678943000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"39","Apr 24, 2024 14:01:16.678943000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"40","Apr 24, 2024 14:01:16.678943000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"41","Apr 24, 2024 14:01:16.678995000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"42","Apr 24, 2024 14:01:16.678995000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"43","Apr 24, 2024 14:01:16.678995000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"44","Apr 24, 2024 14:01:16.680300000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"45","Apr 24, 2024 14:01:16.680531000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"46","Apr 24, 2024 14:01:16.680934000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"47","Apr 24, 2024 14:01:16.682306000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"48","Apr 24, 2024 14:01:16.682493000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"49","Apr 24, 2024 14:01:16.682708000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"50","Apr 24, 2024 14:01:16.684203000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"51","Apr 24, 2024 14:01:16.684456000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"52","Apr 24, 2024 14:01:16.684456000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"53","Apr 24, 2024 14:01:16.684456000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"54","Apr 24, 2024 14:01:16.684456000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"55","Apr 24, 2024 14:01:16.684457000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"56","Apr 24, 2024 14:01:16.684498000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"57","Apr 24, 2024 14:01:16.684498000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"58","Apr 24, 2024 14:01:16.684498000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"59","Apr 24, 2024 14:01:16.684879000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"60","Apr 24, 2024 14:01:16.685869000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"61","Apr 24, 2024 14:01:16.685869000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"62","Apr 24, 2024 14:01:16.686111000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"63","Apr 24, 2024 14:01:16.686111000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"64","Apr 24, 2024 14:01:16.686111000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"65","Apr 24, 2024 14:01:16.686158000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"66","Apr 24, 2024 14:01:16.686158000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"67","Apr 24, 2024 14:01:16.686158000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"68","Apr 24, 2024 14:01:16.686159000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"69","Apr 24, 2024 14:01:16.686225000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"70","Apr 24, 2024 14:01:16.686739000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"71","Apr 24, 2024 14:01:16.687463000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"72","Apr 24, 2024 14:01:16.687644000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"73","Apr 24, 2024 14:01:16.687644000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"74","Apr 24, 2024 14:01:16.687644000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"75","Apr 24, 2024 14:01:16.687708000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"76","Apr 24, 2024 14:01:16.687708000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"77","Apr 24, 2024 14:01:16.688052000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"78","Apr 24, 2024 14:01:16.839225000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"79","Apr 24, 2024 14:01:16.842756000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"80","Apr 24, 2024 14:01:16.844601000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"81","Apr 24, 2024 14:01:16.844601000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"82","Apr 24, 2024 14:01:16.844637000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"83","Apr 24, 2024 14:01:16.844637000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
